"","method","date","ret"
"389","Cartera sin RF",2017-03-20,6.40826839297565
"390","Cartera sin RF",2017-03-21,5.89440119229701
"391","Cartera sin RF",2017-03-22,7.32719396951243
"392","Cartera sin RF",2017-03-23,7.24604177304757
"393","Uniforme",2017-01-03,0.62225038421866
"394","Uniforme",2017-01-04,0.548227537621465
"395","Uniforme",2017-01-05,1.04889343110406
"396","Uniforme",2017-01-06,1.21310232374389
"397","Uniforme",2017-01-09,1.1217971566459
"398","Uniforme",2017-01-10,1.33671951278433
"399","Uniforme",2017-01-11,1.67644715321559
"400","Uniforme",2017-01-12,1.1555147546085
"401","Uniforme",2017-01-13,2.01998507297741
"402","Uniforme",2017-01-17,2.10311165522766
"403","Uniforme",2017-01-18,2.43741888755502
"404","Uniforme",2017-01-19,2.14492795888624
"405","Uniforme",2017-01-20,2.04777682411294
"406","Uniforme",2017-01-23,1.64338600804147
"407","Uniforme",2017-01-24,2.037903686717
"408","Uniforme",2017-01-25,2.86658822112379
"409","Uniforme",2017-01-26,2.99793035693893
"410","Uniforme",2017-01-27,2.75696416033582
"411","Uniforme",2017-01-30,1.91049287446106
"412","Uniforme",2017-01-31,1.42952456306191
"413","Uniforme",2017-02-01,1.76894542681331
"414","Uniforme",2017-02-02,1.96932110387398
"415","Uniforme",2017-02-03,2.31195287475144
"416","Uniforme",2017-02-06,1.79110528895203
"417","Uniforme",2017-02-07,1.82579591666235
"418","Uniforme",2017-02-08,2.23111920008734
"419","Uniforme",2017-02-09,3.03705606966377
"420","Uniforme",2017-02-10,3.03267088431169
"421","Uniforme",2017-02-13,3.88833241030057
"422","Uniforme",2017-02-14,3.95038248334644
"423","Uniforme",2017-02-15,4.20094894018815
"424","Uniforme",2017-02-16,3.82101339770683
"425","Uniforme",2017-02-17,3.58660047275444
"426","Uniforme",2017-02-21,4.03444177536995
"427","Uniforme",2017-02-22,4.06444259904617
"428","Uniforme",2017-02-23,4.01740146778658
"429","Uniforme",2017-02-24,3.45748496946014
"430","Uniforme",2017-02-27,3.61892495943634
"431","Uniforme",2017-02-28,3.80172335799905
"432","Uniforme",2017-03-01,5.21441156828638
"433","Uniforme",2017-03-02,5.23396056765139
"434","Uniforme",2017-03-03,5.2767048286346
"435","Uniforme",2017-03-06,5.11268535106743
"436","Uniforme",2017-03-07,5.11197000708811
"437","Uniforme",2017-03-08,5.18187303848039
"438","Uniforme",2017-03-09,5.25686105114
"439","Uniforme",2017-03-10,5.35108850793907
"440","Uniforme",2017-03-13,5.70354150492922
"441","Uniforme",2017-03-14,5.30324383697075
"442","Uniforme",2017-03-15,5.53641012479122
"443","Uniforme",2017-03-16,6.68016078687318
"444","Uniforme",2017-03-17,7.0774394108397
"445","Uniforme",2017-03-20,6.99967613952928
"446","Uniforme",2017-03-21,6.82553930771202
"447","Uniforme",2017-03-22,6.40081543489277
"448","Uniforme",2017-03-23,6.66167061641041
"449","PCA",2017-01-03,0.0382978593504185
"450","PCA",2017-01-04,-0.907794324257124
"451","PCA",2017-01-05,-0.217542736453909
"452","PCA",2017-01-06,-0.454647258113707
"453","PCA",2017-01-09,-0.369809507193503
"454","PCA",2017-01-10,-0.382851757257685
"455","PCA",2017-01-11,-0.137074679249201
"456","PCA",2017-01-12,-0.224897581560888
"457","PCA",2017-01-13,0.456188713221178
"458","PCA",2017-01-17,0.706944977948539
"459","PCA",2017-01-18,0.625758935359488
"460","PCA",2017-01-19,0.107055494501969
"461","PCA",2017-01-20,-0.116865074055909
"462","PCA",2017-01-23,-0.80796416620401
"463","PCA",2017-01-24,-0.620934730361473
"464","PCA",2017-01-25,0.123754055664844
"465","PCA",2017-01-26,-0.185395131574495
"466","PCA",2017-01-27,-0.452698904797863
"467","PCA",2017-01-30,-1.49244626177404
"468","PCA",2017-01-31,-1.89427007025433
"469","PCA",2017-02-01,-1.8104480445083
"470","PCA",2017-02-02,-1.15276896619196
"471","PCA",2017-02-03,-0.841188298030818
"472","PCA",2017-02-06,-1.23269028731196
"473","PCA",2017-02-07,-0.754694709885604
"474","PCA",2017-02-08,0.210916594152917
"475","PCA",2017-02-09,1.06060099706274
"476","PCA",2017-02-10,0.839978069163902
"477","PCA",2017-02-13,1.86175796798343
"478","PCA",2017-02-14,1.45579424058893
"479","PCA",2017-02-15,1.60976236593654
"480","PCA",2017-02-16,1.74409612279568
"481","PCA",2017-02-17,1.56145547236248
"482","PCA",2017-02-21,1.97392883093216
"483","PCA",2017-02-22,1.56752453360902
"484","PCA",2017-02-23,1.62458587709231
"485","PCA",2017-02-24,0.724345897491689
"486","PCA",2017-02-27,1.06707629321066
"487","PCA",2017-02-28,0.991436505218449
"488","PCA",2017-03-01,2.45523181255233
"489","PCA",2017-03-02,2.92493074705586
"490","PCA",2017-03-03,2.97231465784228
"491","PCA",2017-03-06,2.73258601488342
"492","PCA",2017-03-07,2.60354795773452
"493","PCA",2017-03-08,2.66972642295566
"494","PCA",2017-03-09,2.87717235742742
"495","PCA",2017-03-10,2.67619371636076
"496","PCA",2017-03-13,3.17557706345419
"497","PCA",2017-03-14,2.67292126561647
"498","PCA",2017-03-15,2.54628642220287
"499","PCA",2017-03-16,3.58317288358646
"500","PCA",2017-03-17,3.8206624662013
"501","PCA",2017-03-20,4.17358089815524
"502","PCA",2017-03-21,4.08684642174345
"503","PCA",2017-03-22,3.73866595096728
"504","PCA",2017-03-23,4.32969635417858
